fkP1Yqn0N_0_000000,shot football
IF-Fxq9etvc_000463,"rowboat, canoe, kayak rowing"
0KWRUdRExUQ_000027,car passing by
HftUHV8Gf9w_000008,chinchilla barking
UDxSzzGgyHA_000140,dog barking
AXH2qziGdFU_000145,playing oboe
KUzd6bUwGdE_000575,people eating crisps
ustlCRkW1QY_000260,playing flute
gogB6-m293I_000077,cat growling
5bGPVko5-S8_000055,basketball bounce
86umnausqfU_000027,civil defense siren
gSOMEptSuZw_000010,hammering nails
e-x-wuXjkqs_000088,playing vibraphone
qJVBbITLJSY_000030,"pigeon, dove cooing"
s32BjZliTuU_000235,playing accordion
rN9dmjcYuz8_000000,playing harmonica
E_fCTkfvlsY_000352,playing tuning fork
3Lt4cNc3row_000030,horse clip-clop
a58CSTv4DiY_000037,dog growling
HyaAF_vQNjI_000280,playing tuning fork
i8UEZCoSaJ4_000022,lions roaring
orrY9LPen2Q_000178,scuba diving
QLFqdRRqjrs_000000,penguins braying
bOXvH-4_STE_000013,toilet flushing
x02Wmrc1bic_000030,people belly laughing
j3ZN8HVCfMI_000126,police radio chatter
tk7JSiFR9lU_000000,hail
O7kgbRyqA5A_000263,tractor digging
aaNETotuNTM_000033,hammering nails
_tgcJfLGBoM_008144,"bird chirping, tweeting"
Sc7NCt210ZI_000106,fire truck siren
SqzS_vj_Tow_000000,francolin calling
Rg73h8CdQ7s_000008,train horning
9S8edgsDzQ8_000030,"male speech, man speaking"
u2l-Zdu1LlI_000730,dinosaurs bellowing
w6M1GXVW3J4_000126,playing hammond organ
3w7rj-KHCqE_000030,male singing
4sEr3mzriKw_000260,using sewing machines
oOBsl5qG3ZU_000247,people eating crisps
zsIKlIdKOZk_000028,playing harpsichord
UT7buW6TKrs_000030,goose honking
uROv_aLrLa8_000030,duck quacking
T6Cd85_tmlM_000070,cattle mooing
Isoo7ptKoe4_000210,people whistling
BH4bN8sfruQ_000013,police car (siren)
iUwILC0nOWM_000060,playing clarinet
5Ye1hx2Kltg_000011,playing glockenspiel
qvJLEGQ7JU8_000141,playing darts
vSnLqvvF1-w_000020,"railroad car, train wagon"
sPUDX9GOQ5s_000160,"child speech, kid speaking"
9c3xqBTTat4_000001,snake rattling
TH856kihO_g_000071,playing table tennis
bk7ywAAQRYU_000345,people marching
1Krnobg67a4_000040,tap dancing
cyL9hVB00JQ_000017,car engine knocking
oT8gE8b18l8_000137,playing didgeridoo
6MtALNg1GT8_000016,playing darts
llfjflKaRGA_000003,coyote howling
yPu2CxITOgI_000112,playing darts
M_zwX9rk-hk_000030,people sniggering
oGid64hTehs_000013,church bell ringing
9Idduq_HqG4_000029,playing gong
MdvcWT126mE_000140,people battle cry
GhEfL08t2ZE_000042,barn swallow calling
7a1QX-qHyLY_000050,playing bagpipes
1w7YXVtANew_000319,reversing beeps
iwzYX5Jo5No_000061,playing trumpet
XK89yCwLvu4_000150,chainsawing trees
3sUENMc-Vc0_000406,playing guiro
gwjBAjcugR8_000070,ambulance siren
yjpd9D4Kc4Q_000060,people screaming
YRT6OHuUmCI_000085,playing volleyball
dSng4UaTrYs_000090,pumping water
OvGhbez1AzQ_000009,playing oboe
ycKUd1HrMxE_000120,"bird chirping, tweeting"
i_8fgAkHuq8_000030,people running
62jBqaFMwRU_000030,playing electric guitar
VzLzUqdGBNo_000053,child singing
Id0cqNWZ50Y_000036,rapping
3d4ps8jH5MU_000004,airplane flyby
MFrKd51cPSg_000086,bull bellowing
6EMNA1S6AdA_000070,"race car, auto racing"
Ts2np-RppZk_000058,toilet flushing
8wkju5FUwEg_000030,wind noise
eSFYsFnFUME_000488,scuba diving
an0VNdQSAoc_000099,squishing water
2iJxfPLfn1A_000300,"child speech, kid speaking"
oQCtb5ngBR8_000527,cat purring
ghOSez-sHMg_000000,cricket chirping
ItVK0mSWRSY_000030,baby crying
ZU9P2kX5Hkc_000030,"rowboat, canoe, kayak rowing"
P2fW77cs5cE_000078,woodpecker pecking tree
IAIDjULy7kg_000020,"child speech, kid speaking"
6aiLRDp5hco_000007,dog whimpering
Lgj_4xyUt2s_000103,playing tabla
0Gz2Prxq9xI_000030,female singing
wCYYXTnj8lY_000029,beat boxing
l5W4NsXy_RI_000000,lions growling
v7UdM7rG7ow_000051,snake rattling
7LMkG7uISis_000174,playing gong
l6WwLCglfZQ_000160,using sewing machines
7qzdPUBnpTk_000070,playing trombone
Kgq5Tsd7TnI_000100,people hiccup
dXTme6SfICM_000034,tornado roaring
IP-HeIQpKps_000030,playing drum kit
y47b9tAJiEk_000023,pig oinking
EN8W__NIerc_000010,"vehicle horn, car horn, honking"
Exoc23lgkxc_000140,playing bongo
HpRJPPs0mdY_000050,footsteps on snow
cdWJ3WCAodk_000289,people slurping
lf95RE4fACE_000627,playing theremin
t4DWK1TmrsY_000330,"race car, auto racing"
83pJo0XD3GM_000163,lighting firecrackers
BC4LglYv70Q_000098,playing oboe
9u3XMoHPyGc_000123,"electric shaver, electric razor shaving"
6ePPqWBl4uw_000031,owl hooting
pMyHN2xk6lE_000048,eagle screaming
TAzJ2B0ZJtQ_000254,"ice cream truck, ice cream van"
jHSb4wWFzMM_000025,beat boxing
RJcWUsq9S7k_000085,cat purring
2xYyr2zQ8aY_000372,"rowboat, canoe, kayak rowing"
B7v4_E7G_3U_000030,playing bass drum
gmSh6OTUSZY_000092,yodelling
DGGwyqSZYR4_000150,female singing
PhsflynoHNc_000050,driving motorcycle
48MB4X1Pgu8_000030,male singing
P-zsFUm_ixM_000030,playing banjo
QDwsETb1fZk_000130,"bee, wasp, etc. buzzing"
iME0P0WfG0s_000100,people slapping
X7b6H_nCssA_000168,bowling impact
yVuRaF_LlqU_000030,male singing
v8-8WsYj9FU_000003,sheep bleating
0nd-o7HL7wI_000022,people marching
gghpr3T01TM_000006,baby crying
Tp-XqTc4UkY_000002,lighting firecrackers
1E7DC6-VMzc_000001,canary calling
muLwbuJW4Rw_000059,playing table tennis
c66nGGCefxw_000063,playing theremin
gH4tyelVl64_000018,missile launch
64el509CuYc_000031,chimpanzee pant-hooting
gweDlMxmSmg_000210,people clapping
Tmr6fgrUnXo_000116,people battle cry
2GwnF4P1wmE_000177,playing squash
mwcExOPLGD4_000007,missile launch
YQtZrfAJ1I8_000037,planing timber
V_PAO7aiHpw_000040,playing trombone
QCFX7N-nvOk_000000,wood thrush calling
6u7om1xiOFU_000030,female singing
h6dk6NNfkjI_000021,playing double bass
B-3wqBViirs_000013,people farting
VhEaJGZF_8I_000036,playing harmonica
L7GQFMI3FCs_000061,hail
EMi1ExaxEmE_000022,bull bellowing
seFJhtrrmfQ_000070,dog barking
6yx5kp7M7CE_000241,printer printing
dtUlMzBIr-U_000022,chicken clucking
dlEWv6eNOCI_000013,splashing water
XNtdRWi5Tr0_000043,police radio chatter
fe2hGyMztU4_000164,cattle mooing
W_UiPIGDBNI_000030,printer printing
dc4Scbbp9ps_000014,sea lion barking
iVKJi_Gf6t4_000000,splashing water
6KQFxxHmVMc_000112,basketball bounce
cf21xOlwAhc_000030,chainsawing trees
U1W7upUID3I_000101,wood thrush calling
S0piJxJKINs_000208,people eating apple
Ez3a1fEmxtE_000001,wind chime
QQqUPNMgssk_000010,people farting
ECKpZiE6C7k_000040,footsteps on snow
3a5mx0D8BJU_000169,playing clarinet
Lz8Ytz12MrU_000120,chopping wood
EjR9jaPoOlQ_000080,people sobbing
BMKlYzoqiBU_000132,bouncing on trampoline
L8wRn9NpKTE_001363,playing steelpan
x_mh7uIZ5tE_000270,lathe spinning
iUi5-o2oSLU_000110,playing piano
Z9bfan82xS4_000080,playing piano
JdAytsdv9XY_000080,"race car, auto racing"
PJBFnqfLM3c_000012,lions roaring
v67sf1hXAVg_000030,"race car, auto racing"
iK35aqA6G6k_000220,ambulance siren
FNqaFtHizxc_000087,beat boxing
xUtd2CuLBz4_000041,footsteps on snow
_PT3Mb3NaLc_000031,lions roaring
