TAGsn5TLoUY_000253,baby laughter
10kIWlsyYcE_000030,playing trumpet
eraLYmB17ms_000030,chicken crowing
6_4OD7A7vCM_000055,woodpecker pecking tree
lhc_ibb1doo_000030,chicken crowing
6ayLEF_-iPc_000605,playing cornet
elYqlcMVT3Q_000150,driving buses
jKiu4hTmO1c_000042,vacuum cleaner cleaning floors
AIYtXHsyRgk_000030,playing saxophone
5ZqT7KgdYu8_000106,playing tambourine
xEOihgu3Dpo_000040,lawn mowing
uKGIS3_ILe4_000364,playing bongo
yr9F4L4DFWY_000010,using sewing machines
9n0q44GNlSs_000023,train wheels squealing
KuDrXzDGowI_000016,playing bass drum
JZl7fNQHGIU_000140,playing piano
Kac8qiE-yAc_000232,playing harpsichord
XUQ9EmsY4NE_000000,tractor digging
fiDi1MhbQgw_000035,playing glockenspiel
8OJfebn55Rk_000039,chainsawing trees
H_9lP_C048s_000114,warbler chirping
QA02L6c8pBc_000003,driving buses
CA0k5W5cpTo_000058,cheetah chirrup
nKmXR1ugi2g_000021,eagle screaming
_R9-NgGmnb8_000058,otter growling
sw6YWkB2c70_000080,playing cymbal
eGnXPEV74lk_000206,popping popcorn
N3Rp0FbecVA_000091,mynah bird singing
03RET5QrKAY_000016,playing trumpet
O5EGxn49f5w_000010,dog bow-wow
aBQ9m59MrWw_000040,dog barking
AwDcttKWsLc_000154,playing electronic organ
hneQn6p0klA_000210,"female speech, woman speaking"
OH_FXKuA1QQ_000030,playing cymbal
MiH16MmAecM_000330,people whispering
-3f9zdKh7Oc_000168,female singing
KN0j3kOL_KI_000094,playing glockenspiel
s68W8KDp5eM_001064,playing french horn
htEQYwNh7fc_000060,"female speech, woman speaking"
JDkxulpU9vU_000049,eletric blender running
mXQV_uQmQ7I_000154,playing erhu
RiSOcMdqSbs_000000,police car (siren)
jtaOWprew1I_000100,"engine accelerating, revving, vroom"
NO_-YLe4PWw_000001,"electric shaver, electric razor shaving"
8rlCRBYe6II_000010,whale calling
FmqF5MMmTvU_000005,woodpecker pecking tree
7-S3TwiRFfE_000155,typing on typewriter
rH1AuuyVknQ_000161,wood thrush calling
SiAW6u4Yt1w_000270,airplane flyby
1i3_NIKp3Zk_000018,electric grinder grinding
RbPgWjo7F3U_000390,people whispering
HTRw_rsg9HM_000463,wind chime
yxgHnqL7aI4_000023,playing glockenspiel
O1WLdxtQz2I_000023,playing erhu
Kfq9gvLAkjk_000020,turkey gobbling
o46_x1R7Xac_000070,skateboarding
-7gEDLZGR_A_000741,singing bowl
mymMye4purU_000927,baby laughter
7YTsyqVSEeI_000017,child singing
IZiz8hNStYY_000080,singing bowl
KD2WKj-xW_s_000030,horse clip-clop
f-HYYMb60iI_000050,cricket chirping
ybrViJtAHGA_000000,airplane flyby
PAmoAHNxRQM_000199,woodpecker pecking tree
6-Lmux2v2g4_000000,chicken crowing
kLb2ZZWpIow_000000,skateboarding
tQx5X5FELFY_000109,chimpanzee pant-hooting
Pi_gwED-gQw_000231,playing hammond organ
pcrlDTm9xLw_000090,playing trumpet
ZUjgmZrfZrM_000016,car engine idling
rVg7xwXiA8c_000153,playing hammond organ
jhhTFZqh0Y0_000000,fireworks banging
KIt4onrsA_c_000806,typing on computer keyboard
FZR5jXndbxg_000003,lathe spinning
oLZdSN8CnHk_000058,playing harmonica
8P_pasSo32I_000056,playing bongo
-OS8Jk3z6j4_000000,playing hammond organ
PwATg6rfGb4_000030,playing bass drum
llAVSSXy-fs_000020,fireworks banging
5IJZSXQW4kg_000061,people hiccup
uZcYCIhmHzI_000230,playing trumpet
5ClmkYQXLTg_000028,playing french horn
yu-o8P_HnV8_000010,dog barking
Vh0K9nuZBvk_000376,playing bongo
eozDiwpsBLc_000076,dog growling
vrAWzrRLS4I_000013,playing tambourine
JSPgb8QfRZI_000050,"bird chirping, tweeting"
5CzashSauJc_000233,playing electronic organ
7Fhe1Ptxj88_000019,tractor digging
MEHCYFv6r_Y_000142,playing table tennis
ikzCU789jow_000002,people booing
Bihn_T3G4xk_000030,"pigeon, dove cooing"
Id2tPODl-Wc_000030,people whistling
59Xef4GPClc_000075,playing table tennis
Noku6ucVQrE_000011,people nose blowing
_DxgZZInOX0_000115,tapping guitar
T6w-Nv0fkzE_000003,horse clip-clop
rK2TKHmdMoE_000030,"pigeon, dove cooing"
DovxSnOx6jQ_000030,"female speech, woman speaking"
xs7PyOVLrIY_000035,airplane
FQxz6v2Y9cA_000092,playing bongo
1DCqWrEhoTA_000040,"railroad car, train wagon"
5MolRlVRZok_000032,playing bongo
2seJaQVkFmg_000013,vacuum cleaner cleaning floors
EMKTB-YkNhY_000028,playing table tennis
Yd7ZeHoA_eM_000041,baby laughter
2rW3anXsE3o_000030,female singing
I-VnJl4UJpk_000045,"electric shaver, electric razor shaving"
aY8co28193o_000026,woodpecker pecking tree
rgx-gISdsyg_000070,lawn mowing
8WyyazzxBQo_000001,fire truck siren
FoIzlfDrm60_000034,playing erhu
cNqJesACCwc_000420,people whispering
SVmA2EmHrA8_000020,"railroad car, train wagon"
7VAH9qpIB-E_000015,typing on typewriter
leUjx2uVPqo_000029,child singing
gPHtapBA56A_000030,people whistling
1vHYHHq6Lcg_000030,ocean burbling
bEjpLnbbyqQ_000051,playing bass drum
VCQ24gXfRrc_000220,baby laughter
VqY_DhvGyrA_000010,owl hooting
PYFUsdNXTXg_000313,airplane
WQshMg9NmHw_000010,chicken crowing
cXHVGJogS9w_000030,"pigeon, dove cooing"
OSzbwhdlOpA_000006,wind chime
dbRujBgDo7A_000310,using sewing machines
54nXynyKxpE_000174,playing bongo
BUff6dj6pC0_000050,opening or closing drawers
U1pPviZ_-90_000000,playing bongo
0e_Ki1qvF7Q_000062,people sneezing
Dqod66ZH2RM_000004,playing glockenspiel
tMI9yJzW990_000110,"engine accelerating, revving, vroom"
VgjK86m_WK4_000150,"bird chirping, tweeting"
hUgxFmaCrPM_000027,reversing beeps
Ta__Ev0mkBk_000030,chainsawing trees
8NLSOipVe44_000443,snake rattling
rOXgqK8qGsM_000024,electric grinder grinding
tyiErzsaN9U_000065,playing cymbal
T1Jlp8NFA4Y_000010,dog barking
n0PnM0u47m4_000007,mynah bird singing
x-uE6qPF_fI_000070,fireworks banging
81I8uGF-Lxk_000030,"male speech, man speaking"
jypgEUhpwCw_000007,people booing
BLiN6oZNoA0_000116,playing tambourine
yEGBt0o9Q3w_000104,people booing
Pzq_dKLYDvI_000030,"pigeon, dove cooing"
EjOyYN9_FFQ_000030,horse clip-clop
E9LQEn1hQIc_000007,vacuum cleaner cleaning floors
0Fbuy5crxjE_000030,playing french horn
4PKKZ3pujAQ_000030,female singing
nbYskIWivZM_000520,electric grinder grinding
2UQ9v6Uyafg_000030,"male speech, man speaking"
7DiCtICan0w_000000,horse clip-clop
7Q59Tviu-6g_000062,playing table tennis
bSR8uLQe5wg_000199,fire truck siren
Rtu653Jv02k_000003,bull bellowing
2-ABU0eTuHk_000003,people booing
ss_CcaKiL30_000000,chainsawing trees
iRxMyjEzDmY_000460,"railroad car, train wagon"
R4rK1rz01zs_000010,using sewing machines
NRhYeRUprec_000014,"electric shaver, electric razor shaving"
3aViYMHfSi0_000110,playing saxophone
00kDmdRICKE_000030,female singing
7ecNoAOaOfs_000127,playing trumpet
Qdo_KgIG6ig_000210,skateboarding
5h_mO_Z_ivg_000075,otter growling
d6xxLeAL2ss_000018,singing bowl
U-NVFRJ0M9A_000160,"female speech, woman speaking"
mxZM5p-ZoXY_000080,playing hammond organ
dT7lwaU9-uo_000024,cricket chirping
d6Y-75BI3xY_000066,playing theremin
WE-cML2ABMw_000014,owl hooting
xUFEJrWTGqU_000040,people hiccup
jB_W5BQYsDc_000164,people slurping
HBoLFS3pYwc_000097,using sewing machines
dW26Dpp2EPg_000030,"bird chirping, tweeting"
5W-7zlBS8RU_000077,car engine idling
dYflCd0UZpk_000030,people whispering
KIyBH1bFqcg_000060,owl hooting
72q2eAiCCSo_000010,playing theremin
Xx5RqNZZCmg_000153,tractor digging
_eNSyBa4yEg_000030,playing electronic organ
QLOMiWJrV-U_000071,playing hammond organ
ghN933D4uG0_000092,mynah bird singing
VW7JVETgk_M_000030,chicken crowing
xz6oqtdBlzg_000117,playing electronic organ
kWlSkwL55Q8_000020,fireworks banging
Lg9mealmU3Q_000038,playing zither
QQgC38fAiwI_000128,car engine idling
f2Ao6VqxwEo_000003,elk bugling
gQnQEbP6h5o_000030,dog bow-wow
Y7mGWuq6u94_000545,airplane
mhofgy8JP1Q_000033,warbler chirping
EaZID0Ujy0o_000030,"male speech, man speaking"
PrLGFyf59oQ_000000,fireworks banging
sHrohf6ahj0_000120,turkey gobbling
DubfNQGCp8I_000076,elk bugling
SHafaBKuFt8_000010,playing harmonica
q0fEM2tV86c_000010,using sewing machines
2194w7qcBSY_000026,black capped chickadee calling
GJUSgtPnvf4_000350,"railroad car, train wagon"
IPDt_iDc6o0_000080,chicken crowing
xbiGo2Ie3kk_000040,people sneezing
6EAXozy2ie8_000034,warbler chirping
QOdsfbMTuSU_000236,playing table tennis
syysO74ja30_000007,playing gong
ltQqX8EvHNw_000145,eagle screaming
rvAbyq-dX7M_000004,playing table tennis
mX5mW4ZDC6I_000026,"engine accelerating, revving, vroom"
CXWYOlareRc_000027,tractor digging
OwFtdf9w38U_000059,tapping guitar
nAPeAqdNBmc_000002,driving buses
aQjit5p0j6I_000602,car engine starting
OzbwvIb4i_s_000010,"pigeon, dove cooing"
8jkr7bOR8ck_000164,playing table tennis
AeX9Y48I-xk_000138,playing trumpet
8HDrtg6RkIM_000145,vacuum cleaner cleaning floors
CpoX-mbf2sA_000494,opening or closing drawers
5YXTdUYl_UM_000078,woodpecker pecking tree
Xtmy1IipjcU_000369,singing bowl
Mf6F6geYJ2M_000010,ocean burbling
3sp7-5pJXYg_000030,"male speech, man speaking"
fj-fBzwxdYw_000048,tapping guitar
Houip5i0OMU_000040,playing saxophone
B3ekqFqx_Ss_000313,chainsawing trees
yb5BXqtVkJM_000150,penguins braying
kIL4Njrc3jU_000222,fire truck siren
65i6Hqk8i-U_000292,lip smacking
o6kY64rTk2k_000291,singing bowl
tuJck0TucHw_000119,playing theremin
OoR08Q4D2R4_000025,"playing violin, fiddle"
_NcO7A8jwWg_000070,fireworks banging
rW0tQGrFxzs_000005,wood thrush calling
ExPGXXmrAPw_000022,fire truck siren
Hw7cO6uSRxU_000905,people whispering
QquFyGluZ-c_000227,airplane flyby
1QDOcfA2lqA_000030,"male speech, man speaking"
vgEUR4H3j2w_000041,baby laughter
2P1Hlgky67c_000017,dog bow-wow
pneWlb2ECqM_000022,baby laughter
CMgS157FM00_000030,turkey gobbling
SKz3Ga23W7Q_000042,fireworks banging
h-mSTX_ZnGM_000007,woodpecker pecking tree
s84dIj4zzsQ_000000,playing ukulele
krY4peyuMgs_000120,playing congas
d6ucEpHErEM_000031,woodpecker pecking tree
YhziNS22jUk_000020,"female speech, woman speaking"
4EIYiOwqjjI_000896,vacuum cleaner cleaning floors
F21rkbmpUDc_000200,playing piano
Y3BUh1IlDrA_000003,wind chime
Dhr9WLV5oQk_000041,people battle cry
m0Evl-SzYKw_000000,playing saxophone
yH0LCfZtIgY_000166,playing electronic organ
mztEA-UKIQI_000030,playing trumpet
2hGRjp3B-9k_000009,child singing
grzORJCkf3o_000030,playing harpsichord
NrdI3OO9-uw_000190,"railroad car, train wagon"
I9F_1qi3-wQ_000066,eagle screaming
nZHVhIZc2O0_000030,skateboarding
ybK6vfjyZq8_000006,"electric shaver, electric razor shaving"
U0QmqfsfCXQ_000022,coyote howling
VmkTBekmiyc_000018,playing congas
Tguz2fhjO2Q_000037,people booing
u-5i_lCCH-M_000012,black capped chickadee calling
